date,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,TSD,britned_flow,east_west_flow,eleclink_flow,embedded_solar_capacity,embedded_solar_generation,embedded_wind_capacity,embedded_wind_generation,england_wales_demand,greenlink_flow,ifa2_flow,ifa_flow,moyle_flow,nd,nemo_flow,non_bm_stor,nsl_flow,pump_storage_pumping,scottish_transfer,settlement_period,tsd,viking_flow,min_temp °c,max_temp °c,rain mm,humidity %,cloud_cover %,wind_speed km/h,wind_direction_numerical
2009-01-01,0.0,0.0,,0.0,0.0,1403.0,65.66666666666667,33527.729166666664,0.0,1702.4583333333333,-107.91666666666667,37277.520833333336,0.0,0.0,,539.8541666666666,38528.395833333336,,,,,,,,,,,,,,,,,,,,,,-1.9880715705765408,1.8866799204771372,0.11411530815109344,83.87077534791253,32.47912524850894,10.300198807157058,94.1600397614314
2009-01-02,0.0,0.0,,0.0,0.0,1403.0,292.3958333333333,36087.083333333336,0.0,468.2708333333333,-78.29166666666667,40015.020833333336,0.0,5.354166666666667,,391.5,41133.458333333336,,,,,,,,,,,,,,,,,,,,,,-0.705765407554672,3.7554671968190854,0.04691848906560636,88.558648111332,43.236580516898606,13.721669980119284,80.38270377733599
2009-01-03,0.0,0.0,,0.0,0.0,1403.0,185.375,35530.1875,0.0,612.3541666666666,-82.375,39535.229166666664,0.0,3.1458333333333335,,441.9583333333333,40667.791666666664,,,,,,,,,,,,,,,,,,,,,,-2.0894632206759445,2.667992047713718,0.10238568588469185,80.93041749502981,25.284294234592444,10.890656063618291,154.50298210735588
2009-01-04,0.0,0.0,,0.0,0.0,1403.0,330.3541666666667,35889.770833333336,0.0,377.875,-75.47916666666667,39820.979166666664,0.0,4.625,,474.1041666666667,41013.958333333336,,,,,,,,,,,,,,,,,,,,,,-2.043737574552684,1.9562624254473162,0.5172962226640159,83.39960238568588,58.314115308151095,11.992047713717694,261.0984095427435
2009-01-05,0.0,0.0,,0.0,0.0,1403.0,508.9166666666667,41006.854166666664,0.0,-506.2916666666667,-93.25,45450.958333333336,0.0,10.125,,554.875,47322.3125,,,,,,,,,,,,,,,,,,,,,,-1.7892644135188867,2.6858846918489068,0.7727634194831013,84.389662027833,37.07952286282306,17.214711729622266,122.25149105367794
2009-01-06,0.0,0.0,,0.0,0.0,1403.0,252.39583333333334,42640.1875,0.0,-679.3958333333334,-42.791666666666664,47224.708333333336,0.0,5.958333333333333,,575.1875,49411.5625,,,,,,,,,,,,,,,,,,,,,,-3.5168986083499005,1.2266401590457257,0.4363817097415507,78.28230616302187,18.648111332007954,12.94831013916501,155.30815109343936
2009-01-07,0.0,0.0,,0.0,0.0,1403.0,143.6875,42878.395833333336,0.0,-249.22916666666666,6.083333333333333,47482.145833333336,0.0,3.4166666666666665,,482.2708333333333,49179.583333333336,,,,,,,,,,,,,,,,,,,,,,-2.8827037773359843,2.918489065606362,0.2532803180914513,88.91252485089463,69.36978131212723,10.924453280318092,282.0328031809145
2009-01-08,0.0,0.0,,0.0,0.0,1403.0,197.25,41786.541666666664,0.0,-473.875,-26.458333333333332,46168.25,0.0,0.0,,471.7083333333333,48029.958333333336,,,,,,,,,,,,,,,,,,,,,,-0.39165009940357853,4.252485089463221,0.03876739562624255,90.78330019880715,31.761431411530815,9.244532803180915,194.493041749503
2009-01-09,0.0,0.0,,0.0,0.0,1403.0,266.1458333333333,41639.3125,0.0,-1029.9583333333333,-109.47916666666667,45964.291666666664,0.0,0.0,,456.8958333333333,48309.708333333336,,,,,,,,,,,,,,,,,,,,,,-1.4234592445328031,2.628230616302187,0.01848906560636183,85.28031809145129,14.958250497017893,11.210735586481114,149.40357852882704
2009-01-10,0.0,0.0,,0.0,0.0,1403.0,742.7083333333334,38102.083333333336,0.0,-378.9583333333333,-107.66666666666667,42028.25,0.0,0.0,,407.1666666666667,43654.6875,,,,,,,,,,,,,,,,,,,,,,-1.6560636182902584,4.204771371769383,0.821272365805169,83.77534791252485,32.51888667992048,20.566600397614312,196.41650099403577
